Relative Pressure	Indoor Temperature	Indoor Humidity	Outdoor Temperature	Outdoor Humidity	Dewpoint	Windchill	Wind Speed	Wind Direction	Rain Total	Time	Date
[hPa]	[°C]	[%]	[°C]	[%]	[°C]	[°C]	[km/h]		[mm]
1019,3	14,5	64	15,5	69	9,8	15,5	5,4	NW	4,1	09:24	12.03.2010
1019,2	15,0	63	16,5	61	8,9	16,5	0,0	W	4,1	10:24	12.03.2010
1019,6	15,2	61	16,8	58	8,5	16,8	0,0	W	4,1	11:00	12.03.2010
1019,4	15,3	60	17,0	53	7,3	17,0	2,5	SW	4,1	11:30	12.03.2010
1019,1	15,4	59	17,0	53	7,3	17,0	0,0	NW	4,1	12:00	12.03.2010
1019,0	15,4	59	16,8	54	7,4	16,8	5,7	E	4,1	12:30	12.03.2010
1018,6	15,4	59	17,2	52	7,2	17,2	2,8	S	4,1	13:00	12.03.2010
1018,6	15,5	58	17,1	51	6,9	17,1	0,0	SW	4,1	13:30	12.03.2010
1018,2	15,2	59	16,9	52	7,0	16,9	0,0	N	4,1	14:00	12.03.2010
1017,7	16,0	59	18,3	50	7,7	18,3	2,1	NNW	4,1	15:07	12.03.2010
1017,6	15,4	61	17,8	47	6,3	17,8	2,1	ENE	4,1	17:07	12.03.2010
1018,3	15,5	62	13,4	52	3,7	13,4	1,4	SSW	4,1	19:07	12.03.2010
1019,2	15,4	62	12,1	58	4,1	12,1	0,0	SSE	4,1	21:07	12.03.2010
1019,1	15,2	62	9,4	64	2,9	9,4	0,0	NNE	4,1	23:07	12.03.2010
1019,3	14,8	62	9,9	64	3,4	9,9	2,1	ENE	4,1	01:07	13.03.2010
1018,3	14,6	62	---	---	---	---	---	---	4,1	03:07	13.03.2010
1019,1	14,4	63	---	---	---	---	---	---	4,1	05:07	13.03.2010
1018,8	14,2	63	---	---	---	---	---	---	4,1	07:07	13.03.2010
1019,8	14,1	63	---	---	---	---	---	---	4,1	09:07	13.03.2010
1019,8	14,4	63	---	---	---	---	---	---	4,1	11:07	13.03.2010
1018,6	14,8	63	---	---	---	---	---	---	4,1	13:07	13.03.2010
1017,3	15,2	64	18,3	48	7,1	18,3	0,0	E	4,1	15:07	13.03.2010
1016,5	15,6	63	15,6	54	6,3	15,6	0,0	N	4,1	17:07	13.03.2010
1017,0	15,7	63	12,9	70	7,5	12,9	0,0	NNW	4,6	19:07	13.03.2010
1017,2	15,6	63	12,0	76	7,9	12,0	0,0	NNW	4,6	21:07	13.03.2010
1016,7	15,4	63	11,7	78	8,0	11,7	0,0	N	4,6	23:07	13.03.2010
1015,9	15,4	63	11,1	81	7,9	11,1	1,4	NE	5,1	01:07	14.03.2010
1015,5	15,2	63	10,3	85	7,9	10,3	1,0	NNE	6,2	03:07	14.03.2010
1015,6	15,1	64	9,4	86	7,1	9,4	5,4	NE	6,2	05:07	14.03.2010
1015,1	14,9	63	9,1	82	6,2	7,6	7,5	NNE	6,2	07:07	14.03.2010
1015,6	14,7	63	---	---	---	---	---	---	6,2	09:07	14.03.2010
1016,2	14,5	63	---	---	---	---	---	---	6,2	11:07	14.03.2010
1015,7	14,2	63	---	---	---	---	---	---	6,2	13:07	14.03.2010
1014,7	14,3	63	---	---	---	---	---	---	6,2	15:07	14.03.2010
1014,7	14,2	62	---	---	---	---	---	---	6,2	17:07	14.03.2010
1014,9	14,0	62	---	---	---	---	---	---	6,2	19:07	14.03.2010
1015,3	13,8	61	---	---	---	---	---	---	6,2	21:07	14.03.2010
1015,5	13,6	61	---	---	---	---	---	---	6,2	23:07	14.03.2010
1034,8	14,4	63	6,3	77	2,5	6,3	0,0	N	6,7	09:08	19.03.2010
1035,5	14,6	64	14,5	71	9,3	14,5	0,0	S	6,7	11:08	19.03.2010
1036,0	14,4	61	---	---	---	---	---	---	6,7	13:08	19.03.2010
1035,0	15,1	56	21,5	37	6,2	21,5	1,4	N	6,7	15:08	19.03.2010
1034,5	15,6	58	23,4	35	7,0	23,4	0,0	ENE	6,7	17:08	19.03.2010
1034,0	16,0	56	19,8	39	5,4	19,8	0,0	WNW	6,7	19:08	19.03.2010
1034,8	15,8	58	14,1	51	4,1	14,1	0,0	N	6,7	21:08	19.03.2010
1034,9	16,7	59	11,2	59	3,4	11,2	0,0	WSW	6,7	23:08	19.03.2010
1035,0	16,4	59	9,2	66	3,1	9,2	1,4	NNW	6,7	01:08	20.03.2010
1034,8	15,9	60	7,8	69	2,4	7,8	2,5	NNW	6,7	03:08	20.03.2010
1033,6	15,4	61	7,5	74	3,1	7,5	0,0	NNW	6,7	05:08	20.03.2010
1033,4	15,1	62	7,2	75	3,0	7,2	1,4	NNW	6,7	07:08	20.03.2010
1033,7	14,9	62	6,9	77	3,1	6,9	0,0	NNE	6,7	09:08	20.03.2010
1034,5	14,6	63	14,6	65	8,1	5,4	92,1	NE	6,7	11:08	20.03.2010
1034,2	14,6	62	16,6	58	8,3	16,6	2,1	S	6,7	13:08	20.03.2010
1033,5	15,2	64	17,8	57	9,1	17,8	2,8	SSE	6,7	15:08	20.03.2010
1032,0	15,5	64	18,9	48	7,6	18,9	3,6	ESE	6,7	17:08	20.03.2010
